"1948","England","London","07/29/1948","08/14/1948","NULL","NULL","Due to World War II there was no Olympic competition between 1936 and 1948. Germany and Japan were not invited to participate and the Soviet Union refused to attend the 1948 London Games but Hungary, Yugoslavia and Poland competed for the first time. Although most people did not own television sets, the 1948 Games were the first to be beamed into the comfort of our homes."
"1952","Finland","Helsinki","07/19/1952","08/03/1952","NULL","NULL","Japan and Germany were readmitted at the 1952 Helsinki Games and for the first time since 1912, the Soviet Union took their place at the Olympic Games. It was at these Games that the Soviet Union's women's team won the gymnastics final and remained unbeatable at the Olympics for forty years, until the Soviet Union broke up into numerous republics. Despite the concern that Cold War tensions would cause problems at the 1952 Helsinki Games, the competition went off with out a hitch."
"1956","Australia","Melbourne","11/22/1956","12/08/1956","NULL","NULL","The 1956 Melbourne Games were the first Olympics to be held in the Southern Hemisphere however due to Australia's strict quarantine laws, equestrian events were held in Stockholm. Five nations withdrew from the Games as fears of a war in Egypt and Turkey heightened."
"1960","Italy","Rome","08/25/1960","09/11/1960","NULL","NULL","The 1960 Rome Games are best remembered for Italy's use of its ancient landmarks as venues for competition. It was also the first time in decades that the Games were not hindered by war or political problems."
"1964","Japan","Tokyo","10/10/1964","10/24/1964","NULL","NULL","The 1964 Tokyo Games were the first Olympics to be held in an Asian country. Due to apartheid, South Africa was banned from entering in Olympic competition. The strongest image of the 1964 Tokyo Games was that of the final torchbearer at the Opening Ceremony. Nineteen-year-old Yoshinori Sakai was born on the 6th August 1945 in Hiroshima, the day it was devastated by an atomic bomb. Computers were used for the first time to organise statistics."
"1968","Mexico","Mexico City","10/12/1968","10/27/1968","NULL","NULL","South Africa was once again excluded from Olympic competition after protests by several countries due to apartheid. It was also the first time that East and West Germany competed separately. The fact that the air in Mexico City contained thirty-percent less oxygen than at sea level caused problems for athletes. Athletes in endurance sports suffered severely while the shorter disciplines were full of new Olympic records. The 1968 Mexico City Games also saw the introduction of drug testing and sex testing for women."
"1972","Germany","Munich","08/26/1972","09/10/1972","Waldi","NULL","It is day eleven of the 1972 Munich Games that forever scared Germany's attempt at a peaceful Games to show the world that World War II was well behind them. Palestinian terrorists took advantage of the limited security and took 11 Israeli athletes hostage. As the horrific event unfolded all eleven athletes, five of the terrorists and a West German policeman were killed. All competition was suspended for 34 hours and after a memorial service, the Games continued."
"1976","Canada","Montreal","07/17/1976","08/01/1976","Amik","NULL","Due to an earlier tour of apartheid South Africa by a New Zealand rugby union team, the 1976 Montreal Games were plagued with African countries boycotting the competition due to New Zealand's Olympic presence. Taiwan also boycotted as it was not acknowledged as part of the Republic of China bt the IOC."
"1980","USSR","Moscow","07/19/1980","08/03/1980","Misha","NULL","These were the first Games to be held in a socialist country and due to the 1979 Soviet invasion of Afghanistan, dozens of nations boycotted the 1980 Moscow Games. The number of competing nations had not been so low since the 1956 Melbourne Games. That said, there were more than 1000 women and 4000 men competing at these Games."
"1984","USA","Los Angeles","07/28/1984","08/12/1984","Sam","Play part in History","For the first time since 1952, China sent athletes to the Games. The Soviet Union and some of its allies withdrew their athletes citing that security was not good enough. 140 countries competed at the 1984 Los Angeles Games with over 1500 women, 5000 men and nearly 10,000 media attending the Games."
"1988","Korea","Seoul","09/17/1988","10/02/1988","HODORI","Harmony and progress","The 1988 Seoul Games were the first Olympics to allow professional athletes to compete in certain events. The IOC refused to give North Korea the title of co-hosts so they boycotted the Games. This resulted in a couple of other nations boycotting the event in support of North Korea."
"1992","Spain","Barcelona","07/25/1992","08/09/1992","Cobi","Friends Forever","For the first time in decades, no nations boycotted the 1992 Barcelona Games. The Olympic Truce was recited for the first time with 169 countries and nearly 10,000 athletes participating in the Olympics."
"1996","USA","Atlanta","07/19/1996","08/09/1996","Izzy","The Celebration of the Century","The 1996 Atlanta Games celebrated 100 years of the Modern Olympic Games. In 100 years the Games had grown from thirteen to 197 competing nations, from 300 male athletes to more than 10,000 male and female athletes and from 43 to 271 events. During these Games a terrorist bomb at a concert killed one person and injured more than 100 people. "
"2000","Australia","Sydney","09/15/2000","10/01/2000","Olly Syd Millie","Share the Spirit","The Sydney 2000 Games are the biggest to date with a total of 199 nations and more than 10,500 athletes participating. IOC President Juan Antonio Samaranch announced that the Games of the XXII Olympiad were the best Olympics ever held."
"2004","Greece","Athens","08/13/2004","08/29/2004","Athena  Phevos","Welcome Home","In 2004 the Olympic Games returned to Greece, the home of both the ancient Olympics and the first modern Olympics. For the first time ever a record 201 National Olympic Committees (NOCs) participated in the Olympic Games. The overall tally for events on the programme was 301 (one more than in Sydney 2000). Popularity in the Games soared to new highs as 3.9 billion people had access to the television coverage compared to 3.6 billion for Sydney 2000. Women''s wrestling was included in the program for the first time. Swimmer Michael Phelps won 6 gold medals and set a single-Games record with 8 total medals. Leontien Ziljaard-van Moorsel became the first female cyclist to  earn 4 career gold medals and 6 total medals, while canoeist Birgit Fischer became the first athlete in any sport to win two medals in each of 5 Olympics. Runner Hicham El Guerrouj won both the 1,500m and the 5,000m, while on the women''s side Kelly Holmes triumphed in both the 800m and the 1,500m. In team play, Argentina won the men's football tournament without giving up a goal, and the U.S. softball team won by outscoring their opponents 51-1."
